"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 13 17:29:10 CST 2020","Mon Jul 13 17:29:11 CST 2020","1950","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用订单编号查询","使用订单编号查询"
"broken","Mon Jul 13 17:09:20 CST 2020","Mon Jul 13 17:09:21 CST 2020","341","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","会员在其他ec下存在审核通过的银行卡，审核通过会员的银行卡","
                会员在其他ec下存在审核通过的银行卡，审核通过会员的银行卡

        "
"failed","Mon Jul 13 17:10:26 CST 2020","Mon Jul 13 17:10:26 CST 2020","417","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用订单编号查询","使用订单编号查询"
"passed","Mon Jul 13 17:08:27 CST 2020","Mon Jul 13 17:08:27 CST 2020","92","testcases.service_testing.MiniPro","test_login","TestLoin","","","输入正确的手机号码，获取验证码","
                输入正确的手机号码，获取验证码

        "
"passed","Mon Jul 13 17:11:43 CST 2020","Mon Jul 13 17:12:16 CST 2020","33400","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","生成预支名单2","生成预支名单2"
"broken","Mon Jul 13 17:09:26 CST 2020","Mon Jul 13 17:09:27 CST 2020","336","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","手动审核身份证成功","
                手动审核身份证成功

        "
"passed","Mon Jul 13 17:08:44 CST 2020","Mon Jul 13 17:08:45 CST 2020","489","testcases.service_testing.MiniPro","test_uploadThreecard","TestThreecard","","","会员已上传待审核状态身份证，再次上传身份证","
                会员已上传待审核状态身份证，再次上传身份证

        "
"passed","Mon Jul 13 17:09:33 CST 2020","Mon Jul 13 17:09:34 CST 2020","342","testcases.service_testing.PQ","test_name_list","TestNameList","","","手动录入-不同面试状态录入：面试状态为4","手动录入-不同面试状态录入"
"broken","Mon Jul 13 17:09:14 CST 2020","Mon Jul 13 17:09:15 CST 2020","411","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","审核状态查询","
                审核状态查询

        "
"passed","Mon Jul 13 17:10:20 CST 2020","Mon Jul 13 17:10:20 CST 2020","296","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用面试状态查询","使用面试状态查询"
"passed","Mon Jul 13 17:28:59 CST 2020","Mon Jul 13 17:28:59 CST 2020","206","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用在职状态查询","使用在职状态查询"
"broken","Mon Jul 13 17:09:24 CST 2020","Mon Jul 13 17:09:24 CST 2020","125","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","手机号码查询","
                手机号码查询

        "
"passed","Mon Jul 13 17:29:05 CST 2020","Mon Jul 13 17:29:05 CST 2020","181","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用在职状态查询","使用在职状态查询"
"passed","Mon Jul 13 17:09:47 CST 2020","Mon Jul 13 17:09:49 CST 2020","2564","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用面试日期查询","使用面试日期查询"
"broken","Mon Jul 13 17:09:43 CST 2020","Mon Jul 13 17:09:43 CST 2020","167","testcases.service_testing.PQ","test_name_list","TestNameList","","","检查扫描记录","检查扫描记录"
"broken","Mon Jul 13 17:09:11 CST 2020","Mon Jul 13 17:09:12 CST 2020","330","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","身份证审核通过状态，未审核状态的银行信息记录检查","
                身份证审核通过状态，未审核状态的银行信息记录检查

        "
"broken","Mon Jul 13 17:08:43 CST 2020","Mon Jul 13 17:08:44 CST 2020","793","testcases.service_testing.MiniPro","test_uploadThreecard","TestThreecard","","","会员工牌列表检查","
            会员存在待审核、审核通过、审核不通过工牌，查看小程序工牌列表

        "
"broken","Mon Jul 13 17:09:28 CST 2020","Mon Jul 13 17:09:28 CST 2020","335","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","会员已有多条结算名单，审核身份证成功","
                会员已有多条结算名单，审核身份证成功

        "
"passed","Mon Jul 13 17:14:59 CST 2020","Mon Jul 13 17:15:30 CST 2020","31533","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","订单模式不同的预支名单","订单模式不同的预支名单"
"broken","Mon Jul 13 17:09:18 CST 2020","Mon Jul 13 17:09:18 CST 2020","312","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","上传日期查询","
                上传日期查询

        "
"broken","Mon Jul 13 17:29:21 CST 2020","Mon Jul 13 17:29:21 CST 2020","136","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","审核状态查询","
                审核状态查询

        "
"broken","Mon Jul 13 17:09:12 CST 2020","Mon Jul 13 17:09:13 CST 2020","344","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","身份证审核通过状态，审核不通过银行卡信息记录检查","
                身份证审核通过状态，审核不通过银行卡信息记录检查

        "
"broken","Mon Jul 13 17:09:13 CST 2020","Mon Jul 13 17:09:13 CST 2020","147","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","统计信息数据检查","
                统计信息数据检查

        "
"broken","Mon Jul 13 17:09:25 CST 2020","Mon Jul 13 17:09:26 CST 2020","125","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","上传日期查询","
                上传日期查询

        "
"passed","Mon Jul 13 17:22:15 CST 2020","Mon Jul 13 17:22:45 CST 2020","30244","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","在职状态","在职状态"
"broken","Mon Jul 13 17:29:20 CST 2020","Mon Jul 13 17:29:21 CST 2020","149","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","标准企业查询","
                标准企业查询

        "
"passed","Mon Jul 13 17:09:33 CST 2020","Mon Jul 13 17:09:33 CST 2020","347","testcases.service_testing.PQ","test_name_list","TestNameList","","","手动录入-不同面试状态录入：面试状态为3","手动录入-不同面试状态录入"
"broken","Mon Jul 13 17:09:18 CST 2020","Mon Jul 13 17:09:18 CST 2020","140","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","组合查询","
                填写身份证号码、姓名、手机号码、银行名称、银行卡号、审核状态、上传日期查询

        "
"broken","Mon Jul 13 17:09:25 CST 2020","Mon Jul 13 17:09:25 CST 2020","127","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","上传日期查询","
                上传日期查询

        "
"passed","Mon Jul 13 17:14:27 CST 2020","Mon Jul 13 17:14:58 CST 2020","31370","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","订单模式不同的预支名单","订单模式不同的预支名单"
"passed","Mon Jul 13 17:23:19 CST 2020","Mon Jul 13 17:23:50 CST 2020","31431","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","在职状态-离职","在职状态-离职"
"passed","Mon Jul 13 17:25:29 CST 2020","Mon Jul 13 17:25:32 CST 2020","3140","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用面试日期查询","使用面试日期查询"
"passed","Mon Jul 13 17:11:05 CST 2020","Mon Jul 13 17:11:07 CST 2020","1859","testcases.service_testing.PQ","test_name_list","TestNameList","","","名单绑订单后重新录入-工种","名单绑订单后重新录入-工种"
"broken","Mon Jul 13 17:29:19 CST 2020","Mon Jul 13 17:29:19 CST 2020","138","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","统计信息数据检查","
                统计信息数据检查

        "
"broken","Mon Jul 13 17:08:35 CST 2020","Mon Jul 13 17:08:37 CST 2020","2522","testcases.service_testing.MiniPro","test_uploadThreecard","TestThreecard","","","会员上传银行卡","
                        会员上传银行卡

        "
"passed","Mon Jul 13 17:09:30 CST 2020","Mon Jul 13 17:09:30 CST 2020","585","testcases.service_testing.PQ","test_name_list","TestNameList","","","手动录入-不填选填信息","
        手动录入-不填选填信息

        "
"broken","Mon Jul 13 17:09:11 CST 2020","Mon Jul 13 17:09:11 CST 2020","310","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","身份证审核不通过状态银行卡信息记录检查","
                身份证审核不通过状态银行卡信息记录检查

        "
"passed","Mon Jul 13 17:23:52 CST 2020","Mon Jul 13 17:24:23 CST 2020","30944","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","在职状态-转正","在职状态-转正"
"broken","Mon Jul 13 17:29:22 CST 2020","Mon Jul 13 17:29:22 CST 2020","126","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","上传时期查询","
                上传时期查询

        "
"broken","Mon Jul 13 17:09:12 CST 2020","Mon Jul 13 17:09:12 CST 2020","316","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","身份证审核通过状态，审核通过银行卡信息记录检查","
                身份证审核通过状态，审核通过银行卡信息记录检查

        "
"passed","Mon Jul 13 17:09:40 CST 2020","Mon Jul 13 17:09:40 CST 2020","159","testcases.service_testing.PQ","test_name_list","TestNameList","","","名单设置面试状态","名单设置面试状态"
"passed","Mon Jul 13 17:28:58 CST 2020","Mon Jul 13 17:28:58 CST 2020","768","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用身份证号码查询","使用身份证号码查询"
"broken","Mon Jul 13 17:09:24 CST 2020","Mon Jul 13 17:09:24 CST 2020","153","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","身份证号码查询","
                身份证号码查询

        "
"passed","Mon Jul 13 17:27:54 CST 2020","Mon Jul 13 17:28:25 CST 2020","31625","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用企业查询","使用企业查询"
"broken","Mon Jul 13 17:29:20 CST 2020","Mon Jul 13 17:29:20 CST 2020","157","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","姓名查询","
                姓名查询

        "
"passed","Mon Jul 13 17:10:04 CST 2020","Mon Jul 13 17:10:05 CST 2020","500","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用身份证号查询","使用身份证号查询"
"broken","Mon Jul 13 17:09:25 CST 2020","Mon Jul 13 17:09:25 CST 2020","126","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","上传日期查询","
                上传日期查询

        "
"broken","Mon Jul 13 17:08:43 CST 2020","Mon Jul 13 17:08:43 CST 2020","588","testcases.service_testing.MiniPro","test_uploadThreecard","TestThreecard","","","会员已上传待审核状态的工牌再次上传工牌","
            会员已上传待审核状态的工牌再次上传工牌

        "
"passed","Mon Jul 13 17:09:43 CST 2020","Mon Jul 13 17:09:44 CST 2020","1306","testcases.service_testing.PQ","test_name_list","TestNameList","","","检查名单绑订单","检查名单绑订单"
"failed","Mon Jul 13 17:09:45 CST 2020","Mon Jul 13 17:09:46 CST 2020","962","testcases.service_testing.PQ","test_name_list","TestNameList","","","名单和订单企业不一致","名单和订单企业不一致"
"broken","Mon Jul 13 17:29:22 CST 2020","Mon Jul 13 17:29:23 CST 2020","331","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","会员无结算名单审核工牌","
                会员无结算名单审核工牌

        "
"broken","Mon Jul 13 17:29:22 CST 2020","Mon Jul 13 17:29:22 CST 2020","125","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","上传时期查询","
                上传时期查询

        "
"broken","Mon Jul 13 17:09:26 CST 2020","Mon Jul 13 17:09:26 CST 2020","146","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","组合查询","
                填写身份证号码、手机号码、姓名、审核状态、上传日期查询

        "
"passed","Mon Jul 13 17:09:38 CST 2020","Mon Jul 13 17:09:38 CST 2020","198","testcases.service_testing.PQ","test_name_list","TestNameList","","","名单设置面试状态","名单设置面试状态"
"broken","Mon Jul 13 17:09:13 CST 2020","Mon Jul 13 17:09:13 CST 2020","127","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","身份证号码查询","
                身份证号码查询

        "
"broken","Mon Jul 13 17:29:20 CST 2020","Mon Jul 13 17:29:20 CST 2020","135","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","默认查询项查询","
                默认查询项查询

        "
"passed","Mon Jul 13 17:25:33 CST 2020","Mon Jul 13 17:25:39 CST 2020","6246","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用供应商查询","使用供应商查询"
"passed","Mon Jul 13 17:08:29 CST 2020","Mon Jul 13 17:08:31 CST 2020","1679","testcases.service_testing.MiniPro","test_uploadThreecard","TestThreecard","","","选择身份证图片，上传身份证","
                选择身份证图片，上传身份证

        "
"passed","Mon Jul 13 17:29:01 CST 2020","Mon Jul 13 17:29:04 CST 2020","3421","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用在职状态查询","使用在职状态查询"
"broken","Mon Jul 13 17:09:14 CST 2020","Mon Jul 13 17:09:14 CST 2020","173","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","银行名称查询","
                银行名称查询

        "
"passed","Mon Jul 13 17:11:02 CST 2020","Mon Jul 13 17:11:03 CST 2020","508","testcases.service_testing.PQ","test_name_list","TestNameList","","","批量设置面试状态","批量设置面试状态"
"passed","Mon Jul 13 17:10:03 CST 2020","Mon Jul 13 17:10:04 CST 2020","414","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用姓名查询","使用姓名查询"
"passed","Mon Jul 13 17:11:03 CST 2020","Mon Jul 13 17:11:04 CST 2020","508","testcases.service_testing.PQ","test_name_list","TestNameList","","","批量设置面试状态","批量设置面试状态"
"broken","Mon Jul 13 17:09:14 CST 2020","Mon Jul 13 17:09:14 CST 2020","144","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","手机号码查询","
                手机号码查询

        "
"passed","Mon Jul 13 17:10:16 CST 2020","Mon Jul 13 17:10:17 CST 2020","222","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用性别查询","使用性别查询"
"passed","Mon Jul 13 17:10:24 CST 2020","Mon Jul 13 17:10:24 CST 2020","160","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用企业类型查询","使用企业类型查询"
"broken","Mon Jul 13 17:08:25 CST 2020","Mon Jul 13 17:08:25 CST 2020","0","testcases.exception_testing","test_api_exception_case","Test","","","test_01[data0]",""
"passed","Mon Jul 13 17:09:42 CST 2020","Mon Jul 13 17:09:42 CST 2020","367","testcases.service_testing.PQ","test_name_list","TestNameList","","","查看列表不脱敏信息","查看列表不脱敏信息"
"broken","Mon Jul 13 17:09:23 CST 2020","Mon Jul 13 17:09:24 CST 2020","129","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","统计信息数据检查","
                统计信息数据检查

        "
"broken","Mon Jul 13 17:09:26 CST 2020","Mon Jul 13 17:09:26 CST 2020","320","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","刷新待审核状态的身份证","
                刷新待审核状态的身份证

        "
"passed","Mon Jul 13 17:24:25 CST 2020","Mon Jul 13 17:24:56 CST 2020","30754","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","在职状态-未处理","在职状态-未处理"
"passed","Mon Jul 13 17:18:12 CST 2020","Mon Jul 13 17:19:14 CST 2020","61688","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","预支名单更换来源重新绑单","预支名单更换来源重新绑单"
"broken","Mon Jul 13 17:08:27 CST 2020","Mon Jul 13 17:08:27 CST 2020","0","testcases.exception_testing","test_api_exception_case","Test","","","test_01[data1]",""
"broken","Mon Jul 13 17:09:27 CST 2020","Mon Jul 13 17:09:27 CST 2020","329","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","填写已存在的身份证号码审核通过","
                填写ec下已审核通过的身份证号码和姓名，审核通过身份证

        "
"broken","Mon Jul 13 17:29:18 CST 2020","Mon Jul 13 17:29:19 CST 2020","359","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","身份证审核通过状态，审核不通过状态的工牌信息检查","
                身份证审核通过状态，审核不通过状态的工牌信息检查

        "
"passed","Mon Jul 13 17:08:27 CST 2020","Mon Jul 13 17:08:28 CST 2020","1238","testcases.service_testing.MiniPro","test_login","TestLoin","","","输入正确的验证码和手机号码,tenant_type为2登录","
                        输入正确的验证码和手机号码,tenant_type为2登录

        "
"passed","Mon Jul 13 17:25:32 CST 2020","Mon Jul 13 17:25:32 CST 2020","260","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用入职日期查询","使用入职日期查询"
"passed","Mon Jul 13 17:11:07 CST 2020","Mon Jul 13 17:11:08 CST 2020","1233","testcases.service_testing.PQ","test_name_list","TestNameList","","","名单绑订单后重新录入-来源","名单绑订单后重新录入-来源"
"passed","Mon Jul 13 17:11:02 CST 2020","Mon Jul 13 17:11:02 CST 2020","506","testcases.service_testing.PQ","test_name_list","TestNameList","","","批量设置面试状态","批量设置面试状态"
"broken","Mon Jul 13 17:29:18 CST 2020","Mon Jul 13 17:29:18 CST 2020","332","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","身份证审核通过状态，审核通过状态的工牌信息检查","
                身份证审核通过状态，审核通过状态的工牌信息检查

        "
"broken","Mon Jul 13 17:09:11 CST 2020","Mon Jul 13 17:09:11 CST 2020","358","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","身份证未审核状态银行卡信息记录检查","
                身份证未审核状态银行卡信息记录检查

        "
"passed","Mon Jul 13 17:11:04 CST 2020","Mon Jul 13 17:11:05 CST 2020","1239","testcases.service_testing.PQ","test_name_list","TestNameList","","","批量修改备注","批量修改备注"
"passed","Mon Jul 13 17:09:34 CST 2020","Mon Jul 13 17:09:34 CST 2020","355","testcases.service_testing.PQ","test_name_list","TestNameList","","","手动录入-不同性别录入:性别为2","手动录入-不同性别录入"
"broken","Mon Jul 13 17:09:13 CST 2020","Mon Jul 13 17:09:13 CST 2020","132","testcases.service_testing.PQ","test_bankcard_infomange","Testbankcardinfo","","","默认查询项查询","
                默认查询项查询

        "
"passed","Mon Jul 13 17:28:58 CST 2020","Mon Jul 13 17:28:59 CST 2020","573","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","使用姓名查询","使用身份证号码查询"
"passed","Mon Jul 13 17:09:39 CST 2020","Mon Jul 13 17:09:39 CST 2020","178","testcases.service_testing.PQ","test_name_list","TestNameList","","","名单设置面试状态","名单设置面试状态"
"passed","Mon Jul 13 17:10:10 CST 2020","Mon Jul 13 17:10:13 CST 2020","3425","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用设置检查查询","使用设置检查查询"
"broken","Mon Jul 13 17:09:25 CST 2020","Mon Jul 13 17:09:25 CST 2020","139","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","审核状态查询","
                审核状态查询

        "
"passed","Mon Jul 13 17:10:17 CST 2020","Mon Jul 13 17:10:20 CST 2020","2963","testcases.service_testing.PQ","test_name_list","TestNameList","","","使用面试状态查询","使用面试状态查询"
"passed","Mon Jul 13 17:22:47 CST 2020","Mon Jul 13 17:23:17 CST 2020","30605","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","在职状态-在职","在职状态-在职"
"passed","Mon Jul 13 17:11:09 CST 2020","Mon Jul 13 17:11:09 CST 2020","964","testcases.service_testing.PQ","test_name_list","TestNameList","","","名单绑订单后修改来源","名单绑订单后重新录入-来源"
"broken","Mon Jul 13 17:29:17 CST 2020","Mon Jul 13 17:29:17 CST 2020","333","testcases.service_testing.PQ","test_workcard_infomange","Testworkcardinfo","","","身份证审核不通过状态工牌信息记录检查","
                身份证审核不通过状态工牌信息记录检查

        "
"broken","Mon Jul 13 17:09:23 CST 2020","Mon Jul 13 17:09:23 CST 2020","368","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","审核通过状态身份证信息记录检查","
                审核通过状态身份证信息记录检查

        "
"broken","Mon Jul 13 17:08:41 CST 2020","Mon Jul 13 17:08:42 CST 2020","880","testcases.service_testing.MiniPro","test_uploadThreecard","TestThreecard","","","会员身份证未审核通过上传工牌","
            会员身份证未审核通过上传工牌

        "
"passed","Mon Jul 13 17:17:09 CST 2020","Mon Jul 13 17:18:11 CST 2020","61647","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","预支名单更换工种重新绑单","预支名单更换工种重新绑单"
"passed","Mon Jul 13 17:29:13 CST 2020","Mon Jul 13 17:29:15 CST 2020","1557","testcases.service_testing.PQ","test_settle_namelist","TestSettleNameList","","","分页数据量检查","分页数据量检查"
"broken","Mon Jul 13 17:09:22 CST 2020","Mon Jul 13 17:09:23 CST 2020","480","testcases.service_testing.PQ","test_idcard_infomange","Testidcardinfo","","","待审核状态身份证信息记录检查","
                待审核状态身份证信息记录检查

        "
